call_id,call_category,asset_type,location,transcript
IP-REAL-00516,Leasing Inquiry,Warehouse,Retail Plaza Central,"Agent: Industrial Park Leasing Desk, good morning.
Caller: Hello, I'm calling to enquire about available space.
Agent: Sure. Are you looking for office, warehouse, or retail space?
Caller: We are looking for a warehouse.
Agent: Do you have a preferred location within the park?
Caller: Preferably Retail Plaza Central.
Agent: May I know the approximate size requirement?
Caller: Around 10000 square feet.
Agent: Is the unit fitted or shell and core?
Caller: That should work. Please send the details.
Agent: I will email the layout, pricing, and availability.
Caller: Thank you."
IP-REAL-00517,Tenant Support,Warehouse,Zone A – Corporate Offices,"Agent: Industrial Park Support Desk, how may I assist?
Tenant: Hi, I'm calling regarding an unresolved issue.
Tenant: We are facing lost item reported at reception.
Agent: I'm sorry for the inconvenience. May I have your unit details?
Tenant: Our unit is located in Zone A – Corporate Offices.
Agent: Thank you. Let me check the service ticket.
Tenant: This was reported earlier but hasn't been resolved.
Agent: I see the ticket is still open.
Tenant: This is affecting our daily operations.
Agent: I will escalate this to the maintenance team immediately.
Tenant: Please do.
Agent: I will update you shortly."
IP-REAL-00518,Tenant Support,Retail Store,Community Retail Strip,"Agent: Industrial Park Support Desk, how may I assist?
Tenant: Hi, I'm calling regarding an unresolved issue.
Tenant: We are facing air conditioning not working properly.
Agent: I'm sorry for the inconvenience. May I have your unit details?
Tenant: Our unit is located in Community Retail Strip.
Agent: Thank you. Let me check the service ticket.
Tenant: This was reported earlier but hasn't been resolved.
Agent: I see the ticket is still open.
Tenant: This is affecting our daily operations.
Agent: I will escalate this to the maintenance team immediately.
Tenant: Please do.
Agent: I will update you shortly."
IP-REAL-00519,Tenant Support,Retail Store,Logistics Cluster South,"Agent: Industrial Park Support Desk, how may I assist?
Tenant: Hi, I'm calling regarding an unresolved issue.
Tenant: We are facing noise disturbance from nearby unit.
Agent: I'm sorry for the inconvenience. May I have your unit details?
Tenant: Our unit is located in Logistics Cluster South.
Agent: Thank you. Let me check the service ticket.
Tenant: This was reported earlier but hasn't been resolved.
Agent: I see the ticket is still open.
Tenant: This is affecting our daily operations.
Agent: I will escalate this to the maintenance team immediately.
Tenant: Please do.
Agent: I will update you shortly."
IP-REAL-00520,Leasing Inquiry,Warehouse,Logistics Cluster South,"Agent: Industrial Park Leasing Desk, good morning.
Caller: Hello, I'm calling to enquire about available space.
Agent: Sure. Are you looking for office, warehouse, or retail space?
Caller: We are looking for a warehouse.
Agent: Do you have a preferred location within the park?
Caller: Preferably Logistics Cluster South.
Agent: May I know the approximate size requirement?
Caller: Around 4000 square feet.
Agent: Is 24/7 access permitted?
Caller: That should work. Please send the details.
Agent: I will email the layout, pricing, and availability.
Caller: Thank you."
IP-REAL-00521,Leasing Inquiry,Office,Logistics Cluster North,"Agent: Industrial Park Leasing Desk, good morning.
Caller: Hello, I'm calling to enquire about available space.
Agent: Sure. Are you looking for office, warehouse, or retail space?
Caller: We are looking for a office.
Agent: Do you have a preferred location within the park?
Caller: Preferably Logistics Cluster North.
Agent: May I know the approximate size requirement?
Caller: Around 2500 square feet.
Agent: Are loading docks available?
Caller: That should work. Please send the details.
Agent: I will email the layout, pricing, and availability.
Caller: Thank you."
IP-REAL-00522,Leasing Inquiry,Warehouse,Logistics Cluster South,"Agent: Industrial Park Leasing Desk, good morning.
Caller: Hello, I'm calling to enquire about available space.
Agent: Sure. Are you looking for office, warehouse, or retail space?
Caller: We are looking for a warehouse.
Agent: Do you have a preferred location within the park?
Caller: Preferably Logistics Cluster South.
Agent: May I know the approximate size requirement?
Caller: Around 2500 square feet.
Agent: Are loading docks available?
Caller: That should work. Please send the details.
Agent: I will email the layout, pricing, and availability.
Caller: Thank you."
IP-REAL-00523,Leasing Inquiry,Retail Store,Retail Plaza Central,"Agent: Industrial Park Leasing Desk, good morning.
Caller: Hello, I'm calling to enquire about available space.
Agent: Sure. Are you looking for office, warehouse, or retail space?
Caller: We are looking for a retail store.
Agent: Do you have a preferred location within the park?
Caller: Preferably Retail Plaza Central.
Agent: May I know the approximate size requirement?
Caller: Around 2500 square feet.
Agent: Is the unit fitted or shell and core?
Caller: That should work. Please send the details.
Agent: I will email the layout, pricing, and availability.
Caller: Thank you."
IP-REAL-00524,Leasing Inquiry,Warehouse,Zone A – Corporate Offices,"Agent: Industrial Park Leasing Desk, good morning.
Caller: Hello, I'm calling to enquire about available space.
Agent: Sure. Are you looking for office, warehouse, or retail space?
Caller: We are looking for a warehouse.
Agent: Do you have a preferred location within the park?
Caller: Preferably Zone A – Corporate Offices.
Agent: May I know the approximate size requirement?
Caller: Around 10000 square feet.
Agent: Is the unit fitted or shell and core?
Caller: That should work. Please send the details.
Agent: I will email the layout, pricing, and availability.
Caller: Thank you."
IP-REAL-00525,Leasing Inquiry,Office,Tech Block,"Agent: Industrial Park Leasing Desk, good morning.
Caller: Hello, I'm calling to enquire about available space.
Agent: Sure. Are you looking for office, warehouse, or retail space?
Caller: We are looking for a office.
Agent: Do you have a preferred location within the park?
Caller: Preferably Tech Block.
Agent: May I know the approximate size requirement?
Caller: Around 6000 square feet.
Agent: What utilities are included?
Caller: That should work. Please send the details.
Agent: I will email the layout, pricing, and availability.
Caller: Thank you."
IP-REAL-00526,Leasing Inquiry,Retail Store,Zone A – Corporate Offices,"Agent: Industrial Park Leasing Desk, good morning.
Caller: Hello, I'm calling to enquire about available space.
Agent: Sure. Are you looking for office, warehouse, or retail space?
Caller: We are looking for a retail store.
Agent: Do you have a preferred location within the park?
Caller: Preferably Zone A – Corporate Offices.
Agent: May I know the approximate size requirement?
Caller: Around 2500 square feet.
Agent: Is the unit fitted or shell and core?
Caller: That should work. Please send the details.
Agent: I will email the layout, pricing, and availability.
Caller: Thank you."
IP-REAL-00527,Tenant Support,Office,Zone B – SME Offices,"Agent: Industrial Park Support Desk, how may I assist?
Tenant: Hi, I'm calling regarding an unresolved issue.
Tenant: We are facing power outage in common area.
Agent: I'm sorry for the inconvenience. May I have your unit details?
Tenant: Our unit is located in Zone B – SME Offices.
Agent: Thank you. Let me check the service ticket.
Tenant: This was reported earlier but hasn't been resolved.
Agent: I see the ticket is still open.
Tenant: This is affecting our daily operations.
Agent: I will escalate this to the maintenance team immediately.
Tenant: Please do.
Agent: I will update you shortly."
IP-REAL-00528,Tenant Support,Retail Store,Tech Block,"Agent: Industrial Park Support Desk, how may I assist?
Tenant: Hi, I'm calling regarding an unresolved issue.
Tenant: We are facing air conditioning not working properly.
Agent: I'm sorry for the inconvenience. May I have your unit details?
Tenant: Our unit is located in Tech Block.
Agent: Thank you. Let me check the service ticket.
Tenant: This was reported earlier but hasn't been resolved.
Agent: I see the ticket is still open.
Tenant: This is affecting our daily operations.
Agent: I will escalate this to the maintenance team immediately.
Tenant: Please do.
Agent: I will update you shortly."
IP-REAL-00529,Leasing Inquiry,Office,Community Retail Strip,"Agent: Industrial Park Leasing Desk, good morning.
Caller: Hello, I'm calling to enquire about available space.
Agent: Sure. Are you looking for office, warehouse, or retail space?
Caller: We are looking for a office.
Agent: Do you have a preferred location within the park?
Caller: Preferably Community Retail Strip.
Agent: May I know the approximate size requirement?
Caller: Around 10000 square feet.
Agent: What is the rental rate per square foot?
Caller: That should work. Please send the details.
Agent: I will email the layout, pricing, and availability.
Caller: Thank you."
IP-REAL-00530,Leasing Inquiry,Office,Zone B – SME Offices,"Agent: Industrial Park Leasing Desk, good morning.
Caller: Hello, I'm calling to enquire about available space.
Agent: Sure. Are you looking for office, warehouse, or retail space?
Caller: We are looking for a office.
Agent: Do you have a preferred location within the park?
Caller: Preferably Zone B – SME Offices.
Agent: May I know the approximate size requirement?
Caller: Around 15000 square feet.
Agent: What is the rental rate per square foot?
Caller: That should work. Please send the details.
Agent: I will email the layout, pricing, and availability.
Caller: Thank you."
IP-REAL-00531,Leasing Inquiry,Retail Store,Retail Plaza Central,"Agent: Industrial Park Leasing Desk, good morning.
Caller: Hello, I'm calling to enquire about available space.
Agent: Sure. Are you looking for office, warehouse, or retail space?
Caller: We are looking for a retail store.
Agent: Do you have a preferred location within the park?
Caller: Preferably Retail Plaza Central.
Agent: May I know the approximate size requirement?
Caller: Around 15000 square feet.
Agent: How many parking spaces are included?
Caller: That should work. Please send the details.
Agent: I will email the layout, pricing, and availability.
Caller: Thank you."
IP-REAL-00532,Tenant Support,Warehouse,Zone B – SME Offices,"Agent: Industrial Park Support Desk, how may I assist?
Tenant: Hi, I'm calling regarding an unresolved issue.
Tenant: We are facing lost item reported at reception.
Agent: I'm sorry for the inconvenience. May I have your unit details?
Tenant: Our unit is located in Zone B – SME Offices.
Agent: Thank you. Let me check the service ticket.
Tenant: This was reported earlier but hasn't been resolved.
Agent: I see the ticket is still open.
Tenant: This is affecting our daily operations.
Agent: I will escalate this to the maintenance team immediately.
Tenant: Please do.
Agent: I will update you shortly."
